name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
Kuai shou qiang shou kuai qiang shou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Salton Sea,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2
The Runner,19,22,25,33,38,29,27,26,28,31,96,100,50,51,64,34,38,37,37,37,48
Pokemon za mubi XY& Z 'borukenion to kiko (karakuri) no magiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wo bu shi Pan Jin Lian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Here and Now,8,8,9,12,11,9,8,11,10,7,6,6,6,6,12,7,7,6,7,6,7
isPartial.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Wild Faith,11,11,10,9,7,9,9,7,9,7,6,5,5,5,5,4,6,5,5,6,7
Sing-geul ra-i-deo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Splitting Image,12,8,9,7,6,6,7,7,6,7,6,6,6,6,7,8,8,7,8,7,8
Nirvanna the Band the Show,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,1,1
The Wedding Party,58,57,54,57,61,71,69,88,90,78,66,60,65,100,87,61,43,48,61,48,49
isPartial.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Betrayed,36,43,46,42,47,61,71,65,59,61,65,69,72,85,100,76,81,88,97,92,98
May I Come in Madam?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desert Flippers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0
O Nome da Morte,0,0,0,1,1,2,2,3,2,2,3,2,2,2,5,4,6,6,7,5,5
